gc 114 @0.044s 12%: 0.061+0.12+0.002 ms clock, 0.48+0.067/0.082/0+0.016 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 115 @0.044s 12%: 0.061+0.16+0.013 ms clock, 0.49+0.055/0.12/0+0.10 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 116 @0.044s 12%: 0.076+0.12+0.003 ms clock, 0.61+0.069/0.087/0+0.029 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 117 @0.045s 12%: 0.054+0.20+0.002 ms clock, 0.43+0.037/0.10/0+0.016 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 118 @0.045s 12%: 0.044+0.082+0.003 ms clock, 0.35+0.055/0.082/0+0.025 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 119 @0.045s 12%: 0.054+0.16+0.002 ms clock, 0.43+0.047/0.11/0+0.018 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 120 @0.046s 12%: 0.068+0.087+0.002 ms clock, 0.54+0.067/0.088/0+0.023 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 121 @0.046s 12%: 0.078+0.21+0.010 ms clock, 0.63+0.048/0.10/0+0.084 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 122 @0.046s 12%: 0.058+0.080+0.002 ms clock, 0.46+0.069/0.077/0+0.016 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 123 @0.047s 12%: 0.055+0.22+0.015 ms clock, 0.44+0.023/0.11/0+0.12 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 124 @0.047s 12%: 0.055+0.091+0.007 ms clock, 0.44+0.066/0.070/0+0.061 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 125 @0.047s 12%: 0.060+0.15+0.002 ms clock, 0.48+0.052/0.10/0+0.017 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 126 @0.048s 12%: 0.036+0.10+0.002 ms clock, 0.29+0.057/0.11/0+0.016 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 127 @0.048s 12%: 0.051+0.22+0.002 ms clock, 0.40+0.049/0.13/0+0.019 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 128 @0.049s 12%: 0.065+0.089+0.002 ms clock, 0.52+0.056/0.091/0+0.021 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 129 @0.049s 12%: 0.046+0.12+0.002 ms clock, 0.37+0.066/0.11/0.003+0.019 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
